"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"buildroot","2020.02.3","GPL-2.0+","COPYING","not saved","not saved",""
"ccache","3.7.7","GPL-3.0+, others","LICENSE.adoc GPL-3.0.txt","ccache-3.7.7.tar.xz","https://github.com/ccache/ccache/releases/download/v3.7.7","host-skeleton [unknown]"
"gcc-final","8.4.0","unknown","","gcc-8.4.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-8.4.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-ccache [GPL-3.0+, others] host-gcc-initial [unknown] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"binutils","2.32","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.32.tar.xz","http://ftpmirror.gnu.org/binutils","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftpmirror.gnu.org/gmp","host-ccache [GPL-3.0+, others] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftpmirror.gnu.org/m4","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"mpc","1.1.0","LGPL-3.0+","COPYING.LESSER","mpc-1.1.0.tar.gz","http://ftpmirror.gnu.org/mpc","host-ccache [GPL-3.0+, others] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"mpfr","4.0.2","LGPL-3.0+","COPYING.LESSER","mpfr-4.0.2.tar.xz","http://www.mpfr.org/mpfr-4.0.2","host-ccache [GPL-3.0+, others] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"gcc-initial","8.4.0","unknown","","gcc-8.4.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-8.4.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-ccache [GPL-3.0+, others] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"pkgconf","1.6.1","pkgconf license","COPYING","pkgconf-1.6.1.tar.xz","https://distfiles.dereferenced.org/pkgconf","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"cmake","3.15.5","BSD-3-Clause","Copyright.txt","cmake-3.15.5.tar.gz","https://cmake.org/files/v3.15","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"patchelf","0.9","GPL-3.0+","COPYING","patchelf-0.9.tar.bz2","https://nixos.org/releases/patchelf/patchelf-0.9","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"acl","2.2.53","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","doc/COPYING doc/COPYING.LGPL","acl-2.2.53.tar.gz","http://download.savannah.gnu.org/releases/acl","host-attr [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"attr","2.4.48","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","doc/COPYING doc/COPYING.LGPL","attr-2.4.48.tar.gz","http://download.savannah.gnu.org/releases/attr","host-ccache [GPL-3.0+, others] host-skeleton [unknown]"
"autoconf","2.69","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.69.tar.xz","http://ftpmirror.gnu.org/autoconf","host-ccache [GPL-3.0+, others] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"libtool","2.4.6","GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)","COPYING libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","http://ftpmirror.gnu.org/libtool","host-ccache [GPL-3.0+, others] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"automake","1.15.1","GPL-2.0+","COPYING","automake-1.15.1.tar.xz","http://ftpmirror.gnu.org/automake","host-autoconf [GPL-3.0+ with exceptions] host-ccache [GPL-3.0+, others] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"fakeroot","1.20.2","GPL-3.0+","COPYING","fakeroot_1.20.2.orig.tar.bz2","http://snapshot.debian.org/archive/debian/20141005T221953Z/pool/main/f/fakeroot","host-acl [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-attr [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown]"
