"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"uclibc","1.0.32","LGPL-2.1+","COPYING.LIB","uClibc-ng-1.0.32.tar.xz","https://downloads.uclibc-ng.org/releases/1.0.32","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"linux-headers","5.4.43","GPL-2.0","COPYING LICENSES/preferred/GPL-2.0 LICENSES/exceptions/Linux-syscall-note","linux-5.4.43.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v5.x","skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"busybox","1.31.1","GPL-2.0","LICENSE","busybox-1.31.1.tar.bz2","http://www.busybox.net/downloads","libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)]"
"util-linux","2.35.1","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.35.1.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.35","libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"libzlib","1.2.11","Zlib","README","zlib-1.2.11.tar.xz","http://www.zlib.net","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"exfat-utils","1.3.0","GPL-3.0+","COPYING","exfat-utils-1.3.0.tar.gz","https://github.com/relan/exfat/releases/download/v1.3.0","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"exfat","1.3.0","GPL-3.0+","COPYING","fuse-exfat-1.3.0.tar.gz","https://github.com/relan/exfat/releases/download/v1.3.0","libfuse [GPL-2.0, LGPL-2.1] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"libfuse","2.9.9","GPL-2.0, LGPL-2.1","COPYING COPYING.LIB","fuse-2.9.9.tar.gz","https://github.com/libfuse/libfuse/releases/download/fuse-2.9.9","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"fbv","1.0b","GPL-2.0","COPYING","fbv-1.0b.tar.gz","http://s-tech.elsat.net.pl/fbv","giflib [MIT] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"giflib","5.2.1","MIT","COPYING","giflib-5.2.1.tar.gz","http://downloads.sourceforge.net/project/giflib","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"jpeg-turbo","2.0.4","IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)","LICENSE.md README.ijg","libjpeg-turbo-2.0.4.tar.gz","https://downloads.sourceforge.net/project/libjpeg-turbo/2.0.4","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"libpng","1.6.37","Libpng-2.0","LICENSE","libpng-1.6.37.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.37","libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
"p7zip","16.02","LGPL-2.1+ with unRAR restriction","DOC/License.txt","p7zip_16.02_src_all.tar.bz2","http://downloads.sourceforge.net/project/p7zip/p7zip/16.02","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] uclibc [LGPL-2.1+]"
